project_id,state,district,constituency,work_type,work_description,sanction_amount,estimated_cost,expenditure,start_date,expected_completion,actual_completion_date,physical_progress,financial_progress,implementing_agency,contractor_agency,latitude,longitude,status,terrain,data_source
MPLADS-SYN-0531,Rajasthan,Udaipur,Udaipur,Sports Facility,Sports Facility development work in Udaipur,2430000,2370000,1778075,2026-02-12,2026-09-28,,73,81,District Health Office,Maharashtra Works Agency,9.786122,78.150656,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0532,Rajasthan,Udaipur,Udaipur,Street Lighting,Street Lighting development work in Udaipur,1290000,1280000,813415,2026-04-07,2026-06-12,,60,65,Rural Development Agency,Sai Construction,21.214548,82.986886,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0533,Uttar Pradesh,Kanpur Nagar,Kanpur,Street Lighting,Street Lighting development work in Kanpur Nagar,640000,630000,289874,2026-08-13,2026-10-18,,36,47,Education Department,National Infra Services,14.455708,88.405238,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0534,Maharashtra,Palghar,Palghar,Drinking Water,Drinking Water development work in Palghar,1790000,1780000,1218217,2026-02-22,2026-09-15,,61,73,Public Works Department,District Works Cooperative,27.075019,80.093878,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0535,Uttar Pradesh,Prayagraj,Prayagraj,Road,Road development work in Prayagraj,1480000,1470000,1071268,2026-02-20,2026-07-17,,73,79,Public Works Department,District Works Cooperative,17.003379,72.032864,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0536,Maharashtra,Pune,Pune,Health Facility,Health Facility development work in Pune,4220000,4130000,1477000,2026-03-21,2026-09-27,,12,35,Municipal Corporation,ABC Infrastructure Pvt Ltd,8.03019,87.501459,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0537,Maharashtra,Nashik,Nashik,Library,Library development work in Nashik,670000,670000,372490,2026-06-19,2026-10-04,,69,59,District Health Office,National Infra Services,17.571997,76.547566,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0538,Karnataka,Belagavi,Belagavi,Street Lighting,Street Lighting development work in Belagavi,740000,750000,703295,2026-07-21,2027-03-04,,91,96,District Health Office,Shree Buildcon,13.188176,88.472277,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0539,Uttar Pradesh,Varanasi,Varanasi,Community Hall,Community Hall development work in Varanasi,2300000,2370000,2048999,2026-06-08,2027-02-01,,87,91,Rural Development Agency,District Works Cooperative,13.244765,84.439337,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0540,Karnataka,Hubballi,Hubballi,Library,Library development work in Hubballi,720000,740000,441182,2026-01-09,2026-04-26,,74,68,Public Works Department,Om Civil Works,15.932508,74.735462,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0541,Rajasthan,Kota,Kota,Sports Facility,Sports Facility development work in Kota,720000,740000,601766,2026-05-20,2026-09-20,,83,92,Municipal Corporation,ABC Infrastructure Pvt Ltd,12.102912,80.710023,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0542,Bihar,Gaya,Gaya,Road,Road development work in Gaya,2020000,2010000,585800,2026-07-21,2026-12-11,,13,29,District Health Office,District Works Cooperative,15.866761,74.636187,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0543,Karnataka,Bengaluru Urban,Bengaluru,Street Lighting,Street Lighting development work in Bengaluru Urban,840000,830000,421969,2026-05-16,2026-09-18,,47,52,District Health Office,ABC Infrastructure Pvt Ltd,11.349019,75.721382,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0544,Bihar,Gaya,Gaya,Drinking Water,Drinking Water development work in Gaya,1430000,1470000,1315600,2026-05-24,2026-09-08,,33,92,Municipal Corporation,District Works Cooperative,25.461575,77.123397,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0545,Madhya Pradesh,Sagar,Sagar,Solar Lighting,Solar Lighting development work in Sagar,1100000,1130000,407000,2026-06-13,2026-09-30,,37,37,Zilla Parishad,Maharashtra Works Agency,20.40288,73.21068,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0546,Maharashtra,Aurangabad,Aurangabad,Solar Lighting,Solar Lighting development work in Aurangabad,1210000,1220000,885422,2026-03-25,2026-06-03,,78,76,Public Works Department,Shree Buildcon,15.620808,85.542667,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0547,Maharashtra,Nandurbar,Nandurbar,Library,Library development work in Nandurbar,400000,400000,251878,2026-08-02,2027-03-02,,74,66,Zilla Parishad,Shree Buildcon,28.070483,83.808039,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0548,Madhya Pradesh,Indore,Indore,Road,Road development work in Indore,1280000,1300000,981517,2026-08-22,2026-10-22,,65,77,Rural Development Agency,Sai Construction,27.515446,77.995415,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0549,Uttar Pradesh,Kanpur Nagar,Kanpur,Drinking Water,Drinking Water development work in Kanpur Nagar,1140000,1130000,273600,2026-07-01,2026-12-01,,24,24,Zilla Parishad,Shree Buildcon,10.826292,78.34206,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0550,Maharashtra,Solapur,Solapur,Sports Facility,Sports Facility development work in Solapur,1760000,1800000,792000,2026-04-19,2026-06-29,,45,45,Zilla Parishad,Om Civil Works,28.262951,72.968587,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0551,Karnataka,Belagavi,Belagavi,Drainage,Drainage development work in Belagavi,970000,970000,702506,2026-02-18,2026-04-23,,75,76,Public Works Department,National Infra Services,10.4759,81.042396,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0552,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Drainage,Drainage development work in Tiruchirappalli,450000,460000,274500,2026-04-22,2026-06-22,,47,61,Rural Development Agency,ABC Infrastructure Pvt Ltd,12.723189,83.976289,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0553,Bihar,Patna,Patna,Solar Lighting,Solar Lighting development work in Patna,460000,450000,369156,2026-07-14,2026-11-27,,91,84,District Health Office,District Works Cooperative,16.294623,75.544333,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0554,Madhya Pradesh,Sagar,Sagar,Library,Library development work in Sagar,850000,840000,722500,2026-03-07,2026-09-27,,23,85,Rural Development Agency,District Works Cooperative,13.926464,72.658649,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0555,Madhya Pradesh,Sagar,Sagar,Street Lighting,Street Lighting development work in Sagar,930000,950000,855485,2026-05-16,2026-12-30,,86,97,Public Works Department,ABC Infrastructure Pvt Ltd,20.115288,74.464288,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0556,Bihar,Bhagalpur,Bhagalpur,Library,Library development work in Bhagalpur,830000,850000,453099,2026-02-14,2026-08-22,,65,55,Zilla Parishad,National Infra Services,27.576303,78.62985,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0557,Madhya Pradesh,Ujjain,Ujjain,Library,Library development work in Ujjain,1340000,1370000,1043330,2026-01-14,2026-04-24,,67,78,Education Department,ABC Infrastructure Pvt Ltd,8.820201,83.65871,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0558,Rajasthan,Ajmer,Ajmer,Street Lighting,Street Lighting development work in Ajmer,1140000,1170000,744497,2026-02-06,2026-08-25,,77,70,District Health Office,Om Civil Works,27.158487,80.805513,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0559,Madhya Pradesh,Indore,Indore,Library,Library development work in Indore,1650000,1640000,640036,2026-08-02,2026-12-24,,38,40,Public Works Department,National Infra Services,27.936888,76.787031,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0560,Bihar,Gaya,Gaya,Drinking Water,Drinking Water development work in Gaya,1330000,1310000,545561,2026-01-18,2026-04-03,,41,44,Municipal Council,Om Civil Works,16.552207,78.339153,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0561,Karnataka,Bengaluru Urban,Bengaluru,Drainage,Drainage development work in Bengaluru Urban,580000,580000,250265,2026-06-09,2026-10-30,,39,45,Municipal Council,ABC Infrastructure Pvt Ltd,11.590064,76.235349,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0562,Karnataka,Mysuru,Mysuru,Drinking Water,Drinking Water development work in Mysuru,1620000,1610000,965530,2026-01-06,2026-03-18,,69,66,District Health Office,District Works Cooperative,14.822083,72.800437,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0563,Bihar,Muzaffarpur,Muzaffarpur,Sports Facility,Sports Facility development work in Muzaffarpur,330000,330000,315679,2026-08-21,2027-04-01,,88,98,Public Works Department,Shree Buildcon,13.149903,72.310836,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0564,Bihar,Bhagalpur,Bhagalpur,Library,Library development work in Bhagalpur,1030000,1030000,556200,2026-08-12,2027-03-16,,67,54,Zilla Parishad,Maharashtra Works Agency,21.454273,73.100446,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0565,Bihar,Gaya,Gaya,Road,Road development work in Gaya,1470000,1480000,1169199,2026-04-22,2026-12-02,,92,84,Zilla Parishad,National Infra Services,15.616375,88.198479,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0566,Madhya Pradesh,Indore,Indore,Drinking Water,Drinking Water development work in Indore,1520000,1500000,1087399,2026-01-02,2026-06-20,,75,79,Education Department,Maharashtra Works Agency,13.591021,85.190978,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0567,Uttar Pradesh,Kanpur Nagar,Kanpur,Health Facility,Health Facility development work in Kanpur Nagar,3550000,3610000,1581568,2026-05-18,2026-11-25,,36,47,Rural Development Agency,Sai Construction,12.209942,72.377093,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0568,Rajasthan,Jodhpur,Jodhpur,Street Lighting,Street Lighting development work in Jodhpur,1510000,1500000,929618,2026-07-22,2026-12-06,,61,66,Rural Development Agency,Om Civil Works,26.887065,76.003072,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0569,Karnataka,Belagavi,Belagavi,Road,Road development work in Belagavi,1280000,1290000,1165107,2026-04-04,2026-06-22,,93,100,Zilla Parishad,Maharashtra Works Agency,14.32566,79.976055,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0570,Rajasthan,Udaipur,Udaipur,Health Facility,Health Facility development work in Udaipur,2360000,2320000,1700163,2026-02-14,2026-06-09,,77,73,Public Works Department,Shree Buildcon,14.545609,75.607392,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0571,Karnataka,Hubballi,Hubballi,Drinking Water,Drinking Water development work in Hubballi,1780000,1790000,865728,2026-07-01,2026-12-27,,51,53,Municipal Corporation,Shree Buildcon,13.978558,78.340961,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0572,Karnataka,Bengaluru Urban,Bengaluru,Drinking Water,Drinking Water development work in Bengaluru Urban,1080000,1060000,702157,2026-08-13,2027-04-08,,66,70,District Health Office,ABC Infrastructure Pvt Ltd,20.111374,85.485424,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0573,Gujarat,Ahmedabad,Ahmedabad,Community Hall,Community Hall development work in Ahmedabad,2440000,2400000,2191355,2026-04-09,2026-07-22,,78,90,Zilla Parishad,District Works Cooperative,10.755759,86.008989,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0574,Uttar Pradesh,Lucknow,Lucknow,School Building,School Building development work in Lucknow,3780000,3810000,2154600,2026-08-25,2026-11-25,,29,57,Municipal Council,Sai Construction,9.36293,81.645183,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0575,Madhya Pradesh,Indore,Indore,Sports Facility,Sports Facility development work in Indore,1640000,1670000,1115200,2026-01-10,2026-07-09,,37,68,Municipal Council,District Works Cooperative,27.612392,73.090727,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0576,Karnataka,Mysuru,Mysuru,Solar Lighting,Solar Lighting development work in Mysuru,460000,460000,331626,2026-02-09,2026-06-07,,86,76,Rural Development Agency,Sai Construction,18.964644,74.818699,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0577,Rajasthan,Jaipur,Jaipur,Community Hall,Community Hall development work in Jaipur,3360000,3370000,2822400,2026-06-21,2027-02-12,,25,84,District Health Office,Maharashtra Works Agency,8.386771,77.386275,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0578,Uttar Pradesh,Kanpur Nagar,Kanpur,Road,Road development work in Kanpur Nagar,760000,740000,259486,2026-01-03,2026-04-02,,41,37,Municipal Council,District Works Cooperative,13.248533,77.06133,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0579,Maharashtra,Solapur,Solapur,Drainage,Drainage development work in Solapur,1030000,1030000,774234,2026-08-21,2027-04-09,,71,78,District Health Office,Sai Construction,26.55067,85.545589,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0580,Tamil Nadu,Coimbatore,Coimbatore,Street Lighting,Street Lighting development work in Coimbatore,1350000,1330000,1098777,2026-05-25,2026-11-01,,72,84,District Health Office,Sai Construction,14.514505,75.849866,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0581,Rajasthan,Ajmer,Ajmer,Road,Road development work in Ajmer,1580000,1550000,1237118,2026-07-24,2027-02-06,,73,80,Municipal Corporation,Shree Buildcon,19.592889,81.738922,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0582,Uttar Pradesh,Prayagraj,Prayagraj,Sports Facility,Sports Facility development work in Prayagraj,2060000,2120000,1648000,2026-03-13,2026-07-21,,45,80,Municipal Council,Om Civil Works,10.415405,88.157001,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0583,Gujarat,Ahmedabad,Ahmedabad,Community Hall,Community Hall development work in Ahmedabad,2950000,2910000,1652000,2026-07-23,2026-12-04,,21,56,Rural Development Agency,Om Civil Works,9.812839,78.764967,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0584,Gujarat,Vadodara,Vadodara,Road,Road development work in Vadodara,2620000,2610000,1381489,2026-05-03,2026-07-17,,51,58,Education Department,ABC Infrastructure Pvt Ltd,16.900287,81.908175,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0585,Tamil Nadu,Madurai,Madurai,Sports Facility,Sports Facility development work in Madurai,980000,960000,650716,2026-01-07,2026-05-28,,77,70,Zilla Parishad,Shree Buildcon,16.722076,83.473423,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0586,Maharashtra,Ahmednagar,Ahmednagar,Sports Facility,Sports Facility development work in Ahmednagar,1750000,1720000,849665,2026-02-10,2026-05-04,,55,49,Municipal Council,ABC Infrastructure Pvt Ltd,25.227846,79.579713,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0587,Maharashtra,Pune,Pune,Drinking Water,Drinking Water development work in Pune,520000,510000,208525,2026-04-11,2026-06-23,,39,42,Public Works Department,Sai Construction,21.600919,87.935894,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0588,Gujarat,Kutch,Kutch,Drainage,Drainage development work in Kutch,1500000,1500000,1335000,2026-07-07,2026-12-07,,26,89,Education Department,Maharashtra Works Agency,18.349748,86.62746,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0589,Bihar,Patna,Patna,Road,Road development work in Patna,510000,500000,178500,2026-07-14,2027-01-28,,11,35,Zilla Parishad,Om Civil Works,21.782474,88.306545,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0590,Karnataka,Bengaluru Urban,Bengaluru,Road,Road development work in Bengaluru Urban,1160000,1190000,422859,2026-05-15,2026-12-15,,42,39,Zilla Parishad,District Works Cooperative,12.677547,86.683463,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0591,Gujarat,Kutch,Kutch,Drainage,Drainage development work in Kutch,2290000,2340000,2090516,2026-02-21,2026-06-28,,91,100,Rural Development Agency,Maharashtra Works Agency,19.391239,85.197813,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0592,Rajasthan,Udaipur,Udaipur,Solar Lighting,Solar Lighting development work in Udaipur,1670000,1720000,1179537,2026-06-18,2026-11-07,,84,74,Rural Development Agency,Maharashtra Works Agency,24.077081,81.773882,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0593,Maharashtra,Ahmednagar,Ahmednagar,Drainage,Drainage development work in Ahmednagar,970000,960000,530485,2026-05-07,2026-11-05,,60,59,Rural Development Agency,National Infra Services,20.627287,74.652029,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0594,Gujarat,Vadodara,Vadodara,Sports Facility,Sports Facility development work in Vadodara,1150000,1160000,453186,2026-05-19,2026-07-25,,45,43,Municipal Council,Sai Construction,25.098975,81.291143,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0595,Gujarat,Rajkot,Rajkot,Community Hall,Community Hall development work in Rajkot,1300000,1300000,1146028,2026-03-20,2026-06-23,,94,89,Municipal Council,District Works Cooperative,8.542078,73.435712,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0596,Gujarat,Kutch,Kutch,Drinking Water,Drinking Water development work in Kutch,1910000,1940000,1157710,2026-06-20,2026-10-15,,76,66,Public Works Department,Sai Construction,17.987878,81.961096,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0597,Gujarat,Vadodara,Vadodara,Drainage,Drainage development work in Vadodara,1340000,1360000,603000,2026-05-08,2026-10-28,,42,45,Education Department,ABC Infrastructure Pvt Ltd,23.171846,82.146489,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0598,Bihar,Bhagalpur,Bhagalpur,Drinking Water,Drinking Water development work in Bhagalpur,1130000,1150000,499282,2026-03-07,2026-10-28,,43,45,Zilla Parishad,Sai Construction,19.052597,81.665266,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0599,Uttar Pradesh,Prayagraj,Prayagraj,Solar Lighting,Solar Lighting development work in Prayagraj,760000,780000,593755,2026-08-25,2027-03-10,,78,83,Municipal Corporation,National Infra Services,10.117271,82.87533,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0600,Madhya Pradesh,Ujjain,Ujjain,Community Hall,Community Hall development work in Ujjain,2210000,2230000,1768000,2026-06-08,2026-10-09,,44,80,Education Department,Sai Construction,15.491344,78.472156,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0601,Uttar Pradesh,Kanpur Nagar,Kanpur,Library,Library development work in Kanpur Nagar,1380000,1360000,614792,2026-03-20,2026-07-17,,48,46,Municipal Corporation,National Infra Services,22.394144,82.129168,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0602,Karnataka,Bengaluru Urban,Bengaluru,Library,Library development work in Bengaluru Urban,350000,360000,276500,2026-03-03,2026-07-15,,29,79,Public Works Department,Sai Construction,21.953003,87.622765,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0603,Uttar Pradesh,Varanasi,Varanasi,Sports Facility,Sports Facility development work in Varanasi,810000,820000,772760,2026-04-14,2026-10-06,2026-10-31,95,100,Public Works Department,National Infra Services,15.811026,87.625444,Completed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0604,Maharashtra,Pune,Pune,School Building,School Building development work in Pune,2660000,2690000,1470991,2026-02-16,2026-07-14,,69,60,Public Works Department,District Works Cooperative,22.665602,86.760518,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0605,Karnataka,Dharwad,Dharwad,Drainage,Drainage development work in Dharwad,1300000,1300000,728000,2026-04-02,2026-11-07,,44,56,Zilla Parishad,National Infra Services,10.113741,78.654712,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0606,Bihar,Patna,Patna,Drainage,Drainage development work in Patna,470000,470000,269135,2026-04-12,2026-07-29,,55,59,Municipal Corporation,Maharashtra Works Agency,21.194288,73.105068,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0607,Tamil Nadu,Coimbatore,Coimbatore,Community Hall,Community Hall development work in Coimbatore,3100000,3160000,1966286,2026-07-14,2027-02-10,,58,70,Education Department,Om Civil Works,21.270654,76.208263,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0608,Madhya Pradesh,Ujjain,Ujjain,Sports Facility,Sports Facility development work in Ujjain,1270000,1290000,537082,2026-01-01,2026-06-23,,52,46,Municipal Council,ABC Infrastructure Pvt Ltd,9.500259,85.650125,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0609,Karnataka,Bengaluru Urban,Bengaluru,Solar Lighting,Solar Lighting development work in Bengaluru Urban,1210000,1210000,529470,2026-04-07,2026-08-18,,45,44,Municipal Corporation,District Works Cooperative,8.329594,82.147389,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0610,Tamil Nadu,Chennai,Chennai,School Building,School Building development work in Chennai,1190000,1220000,874502,2026-03-14,2026-05-15,,80,76,Public Works Department,ABC Infrastructure Pvt Ltd,8.670282,78.621874,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0611,Uttar Pradesh,Varanasi,Varanasi,Drinking Water,Drinking Water development work in Varanasi,670000,690000,551261,2026-04-03,2026-10-06,,84,90,Municipal Council,National Infra Services,24.754379,78.726525,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0612,Tamil Nadu,Madurai,Madurai,Drinking Water,Drinking Water development work in Madurai,660000,660000,198000,2026-02-13,2026-09-27,,20,30,District Health Office,Shree Buildcon,9.168911,82.641917,Delayed,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0613,Gujarat,Vadodara,Vadodara,Sports Facility,Sports Facility development work in Vadodara,1860000,1830000,672393,2026-01-20,2026-05-18,,40,37,Municipal Corporation,ABC Infrastructure Pvt Ltd,22.478681,82.450394,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0614,Karnataka,Mysuru,Mysuru,School Building,School Building development work in Mysuru,3870000,3850000,3289500,2026-02-24,2026-07-12,,66,85,District Health Office,Shree Buildcon,16.65491,75.840879,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0615,Uttar Pradesh,Varanasi,Varanasi,Community Hall,Community Hall development work in Varanasi,1760000,1750000,706957,2026-01-15,2026-05-29,,43,43,Public Works Department,Om Civil Works,12.957669,77.246853,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0616,Uttar Pradesh,Varanasi,Varanasi,Library,Library development work in Varanasi,1720000,1710000,1140119,2026-02-05,2026-09-04,,69,73,Municipal Corporation,District Works Cooperative,25.781753,77.790161,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0617,Gujarat,Surat,Surat,Drainage,Drainage development work in Surat,1960000,2020000,1637115,2026-07-21,2026-09-28,,77,87,Municipal Corporation,Sai Construction,11.503765,84.444883,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0618,Uttar Pradesh,Kanpur Nagar,Kanpur,Street Lighting,Street Lighting development work in Kanpur Nagar,1340000,1350000,1340000,2026-08-24,2027-04-03,,20,100,Zilla Parishad,Maharashtra Works Agency,22.294367,77.389421,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0619,Rajasthan,Kota,Kota,Sports Facility,Sports Facility development work in Kota,1400000,1390000,645590,2026-07-16,2026-11-08,,36,47,Rural Development Agency,Sai Construction,25.012343,80.540156,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0620,Maharashtra,Solapur,Solapur,Community Hall,Community Hall development work in Solapur,3470000,3520000,2706600,2026-08-06,2026-10-07,,58,78,Rural Development Agency,ABC Infrastructure Pvt Ltd,12.040011,74.841553,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0621,Madhya Pradesh,Ujjain,Ujjain,Solar Lighting,Solar Lighting development work in Ujjain,940000,920000,633808,2026-04-08,2026-10-10,,81,74,Education Department,Om Civil Works,25.064933,77.455094,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0622,Gujarat,Vadodara,Vadodara,Health Facility,Health Facility development work in Vadodara,1020000,1000000,663000,2026-02-19,2026-06-18,,42,65,Zilla Parishad,Maharashtra Works Agency,9.607046,82.981776,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0623,Uttar Pradesh,Varanasi,Varanasi,School Building,School Building development work in Varanasi,1910000,1880000,641035,2026-01-17,2026-05-22,,45,35,Zilla Parishad,Om Civil Works,18.478862,84.928346,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0624,Maharashtra,Dhule,Dhule,Sports Facility,Sports Facility development work in Dhule,1200000,1180000,468000,2026-02-22,2026-07-06,,30,39,Municipal Council,National Infra Services,9.172278,78.093406,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0625,Bihar,Bhagalpur,Bhagalpur,School Building,School Building development work in Bhagalpur,4510000,4470000,1623600,2026-06-01,2026-11-12,,58,36,District Health Office,Shree Buildcon,19.983205,87.653942,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0626,Madhya Pradesh,Sagar,Sagar,Sports Facility,Sports Facility development work in Sagar,2030000,2040000,1745800,2026-01-15,2026-08-27,,20,86,Municipal Corporation,Maharashtra Works Agency,25.434075,84.218004,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0627,Uttar Pradesh,Prayagraj,Prayagraj,Drainage,Drainage development work in Prayagraj,1170000,1160000,865455,2026-03-08,2026-08-23,,70,81,Public Works Department,Om Civil Works,9.973294,73.24603,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0628,Rajasthan,Jaipur,Jaipur,Health Facility,Health Facility development work in Jaipur,3390000,3470000,1684560,2026-07-08,2026-12-21,,40,50,Zilla Parishad,District Works Cooperative,12.86996,81.328115,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0629,Madhya Pradesh,Indore,Indore,Library,Library development work in Indore,310000,310000,108500,2026-02-25,2026-05-24,,24,35,Public Works Department,District Works Cooperative,23.446235,82.26656,Delayed,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0630,Bihar,Gaya,Gaya,Library,Library development work in Gaya,540000,550000,527116,2026-08-24,2027-01-04,,94,100,Zilla Parishad,District Works Cooperative,11.400402,74.306533,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
